Club_no,Play_Id,Club_Team
1810203,158023,FC Barcelona
1810204,190460,Tottenham Hotspur
1810205,195864,Manchester United
1810206,198219,Napoli
1810207,201024,Napoli
1810208,203376,Liverpool
1810209,231747,Paris Saint-Germain
1810210,153079,Manchester City
1810211,167495,FC Bayern München
1810212,179813,Paris Saint-Germain
1810213,189511,FC Barcelona
1810214,192119,Real Madrid
1810215,192448,FC Barcelona
1810216,194765,Atlético Madrid
1810217,209331,Liverpool
1810218,211110,Juventus
1810219,232363,Inter
1810220,135507,Manchester City
1810221,167664,Chelsea
1810222,168651,FC Barcelona
1810223,172871,Tottenham Hotspur
1810224,175943,Napoli
1810225,176676,Real Madrid
1810226,184087,Tottenham Hotspur
1810227,189332,FC Barcelona
1810228,189509,FC Bayern München
1810229,192387,Lazio
1810230,193041,Real Madrid
1810231,197781,Real Madrid
1810232,198710,FC Bayern München
1810233,200145,Real Madrid
1810234,201399,Inter
1810235,206585,Chelsea
1810236,208670,Ajax
1810237,209499,Liverpool
1810238,211300,Manchester United
1810239,212188,RB Leipzig
1810240,212190,FC Bayern München
1810241,212198,Portugal
1810242,212462,FC Porto
1810243,216460,Atlético Madrid
1810244,216594,Olympique Lyonnais
1810245,220793,Tottenham Hotspur
1810246,220834,Real Madrid
1810247,231443,FC Barcelona
1810248,41,Vissel Kobe
1810249,41236,LA Galaxy
1810250,205498,Chelsea
1810251,205678,Medipol Başakşehir FK
1810252,206113,FC Bayern München
1810253,207410,Chelsea
1810254,207566,Real Betis
1810255,207863,FC Porto
1810256,208418,Belgium
1810257,208618,Real Madrid
1810258,208808,Sevilla FC
1810259,209658,FC Bayern München
1810260,210008,Paris Saint-Germain
1810261,210413,Milan
1810262,210514,Juventus
1810263,212523,Guangzhou Evergrande Taobao FC
1810264,213345,FC Bayern München
1810265,213565,Atlético Madrid
1810266,213331,Bayer 04 Leverkusen
1810267,216409,Inter
1810268,220440,FC Barcelona
1810269,221087,Real Betis
1810270,221992,PSV
1810271,222737,FC Barcelona
