Club_no,Ntn_no,Play_Id,National_Team
1810203,1,158023,Argentina
1810204,2,190460,Denmark
1810205,3,195864,France
1810206,4,198219,Italy
1810207,5,201024,
1810208,6,203376,Netherlands
1810209,7,231747,France
1810210,8,153079,Argentina
1810211,9,167495,Germany
1810212,10,179813,Uruguay
1810213,11,189511,Spain
1810214,12,192119,Belgium
1810215,13,192448,Germany
1810216,14,194765,France
1810217,15,209331,Egypt
1810218,16,211110,Argentina
1810219,17,232363,
1810220,18,135507,
1810221,19,167664,
1810222,20,168651,
1810223,21,172871,Belgium
1810224,22,175943,Belgium
1810225,23,176676,
1810226,24,184087,Belgium
1810227,25,189332,Spain
1810228,26,189509,Spain
1810229,27,192387,Italy
1810230,28,193041,
1810231,29,197781,Spain
1810232,30,198710,Colombia
1810233,31,200145,
1810234,32,201399,Argentina
1810235,33,206585,Spain
1810236,34,208670,
1810237,35,209499,
1810238,36,211300,
1810239,37,212188,Germany
1810240,38,212190,Germany
1810241,39,212198,Sporting CP
1810242,40,212462,
1810243,41,216460,Uruguay
1810244,42,216594,
1810245,43,220793,Colombia
1810246,44,220834,Spain
1810247,45,231443,France
1810248,46,41,
1810249,47,41236,
1810250,48,205498,Italy
1810251,49,205678,
1810252,50,206113,Germany
1810253,51,207410,
1810254,52,207566,Portugal
1810255,53,207863,
1810256,54,208418,Dalian YiFang FC
1810257,55,208618,
1810258,56,208808,Netherlands
1810259,57,209658,Germany
1810260,58,210008,
1810261,59,210413,
1810262,60,210514,Portugal
1810263,61,212523,
1810264,62,213345,
1810265,63,213565,France
1810266,64,213331,Germany
1810267,65,216409,
1810268,66,220440,
1810269,67,221087,Spain
1810270,68,221992,Mexico
1810271,69,222737,
1810272,70,223959,Uruguay
1810273,71,224411,Portugal
1810274,72,226226,Argentina
1810275,73,226271,
1810276,74,228702,Netherlands
1810277,75,230168,Brazil
1810278,76,230225,Brazil
1810279,77,230258,Brazil
1810280,78,230658,
1810281,79,231866,Spain
1810282,80,183498,
1810283,81,183574,
1810284,82,183711,England
1810285,83,184144,
1810286,84,184200,Austria
1810287,85,184431,Al Hilal
1810288,86,184484,Iceland
1810289,87,184942,
1810290,88,185122,Hungary
1810291,89,185221,
1810292,90,186345,England
1810293,91,186561,Wales
1810294,92,186627,
1810295,93,187754,
1810296,94,188803,
1810297,95,189125,
1810298,96,201455,
1810299,97,202562,
1810300,98,202685,
1810301,99,203890,
1810302,100,204024,
1810303,101,204884,
1810304,102,204923,Austria
1810305,103,205362,
1810306,104,206467,
1810307,105,207862,Germany
1810308,106,208093,
1810309,107,208135,
1810310,108,209889,
1810311,109,210243,
1810312,110,210617,
1810313,111,212194,Germany
1810314,112,226110,
1810315,113,225953,Netherlands
1810316,114,226753,Cameroon
1810317,115,228229,
1810318,116,228941,Portugal
1810319,117,230142,
1810320,118,230234,Brazil
1810321,119,230347,Brazil
1810322,120,231943,
1810323,121,234035,
1810324,122,234153,
1810325,123,234906,
1810326,124,235569,France
1810327,125,239207,Uruguay
1810328,126,45186,
1810329,127,112316,
1810330,128,197061,
1810331,129,197853,Côte d'Ivoire
1810332,130,198118,
1810333,131,198784,
1810334,132,199005,Australia
1810335,133,199069,FC Porto
1810336,134,199110,Colombia
1810337,135,199206,
1810338,136,199416,
1810339,137,200315,
1810340,138,201119,
1810341,139,201143,
1810342,140,201325,Romania
1810343,141,201377,Colombia
1810344,142,202335,England
1810345,143,203042,England
1810346,144,49031,
1810347,145,54050,
1810348,146,110677,
1810349,147,142707,
1810350,148,142754,
1810351,149,144622,
1810352,150,146748,
1810353,151,146760,
1810354,152,147782,
1810355,153,148119,Russia
1810356,154,153244,
1810357,155,156713,
1810358,156,157960,
1810359,157,158625,
1810360,158,159147,
1810361,159,161956,
1810362,160,208330,Belgium
1810363,161,208334,Germany
1810364,162,208498,
1810365,163,208777,
1810366,164,209981,
1810367,165,210324,
1810368,166,210411,
1810369,167,210455,
1810370,168,212501,Belgium
1810371,169,213160,Russia
1810372,170,213516,
1810373,171,213874,
1810374,172,213991,Colombia
1810375,173,214947,
1810376,174,215057,
1810377,175,215061,
1810378,176,190243,
1810379,177,190456,
1810380,178,190544,
1810381,179,191076,Iceland
1810382,180,192598,
1810383,181,192678,
1810384,182,192679,
1810385,183,193152,
1810386,184,193469,
1810387,185,193532,Chile
1810388,186,193738,
1810389,187,194229,
1810390,188,194761,
1810391,189,194845,
1810392,190,194957,
1810393,191,195586,Iceland
1810394,192,238794,
1810395,193,241184,
1810396,194,80,
1810397,195,49369,
1810398,196,121944,
1810399,197,124375,
1810400,198,150418,
1810401,199,152908,England
1810402,200,157301,Netherlands
1810403,201,158121,
1810404,202,158232,
1810405,203,159065,
1810406,204,161648,
1810407,205,163155,
1810408,206,163264,
1810409,207,164029,
1810410,208,164468,
1810411,209,213655,
1810412,210,213666,
1810413,211,213732,
1810414,212,214026,
1810415,213,214394,
1810416,214,214766,
1810417,215,215223,
1810418,216,215466,
1810419,217,215716,
1810420,218,216065,
1810421,219,216189,
1810422,220,216373,
1810423,221,216393,Belgium
1810424,222,216435,
1810425,223,216497,
1810426,224,216643,
1810427,225,199915,
1810428,226,200607,
1810429,227,200641,
1810430,228,200677,
1810431,229,201046,
1810432,230,201510,
1810433,231,201922,Austria
