Play_Id,Name,Age,Height_Cm,Weight_Kgs,Positions,Nationality,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5,Work_Rate
158023,L. Messi,31,170.18,72.1,FW,Argentina,94,94,110500000,5,4,Medium/ Low
190460,C. Eriksen,27,154.94,76.2,MF,Denmark,88,89,69500000,3,4,High/ Medium
195864,P. Pogba,25,190.5,83.9,MF,France,88,91,73000000,4,5,High/ Medium
198219,L. Insigne,27,162.56,59,MF,Italy,88,88,62000000,3,4,High/ Medium
201024,K. Koulibaly,27,187.96,88.9,DF,Senegal,88,91,60000000,3,2,High/ High
203376,V. van Dijk,27,193.04,92.1,DF,Netherlands,88,90,59500000,3,2,Medium/ Medium
231747,K. Mbappé,20,152.4,73,DF,France,88,95,81000000,3,5,High/ Medium
153079,S. Agüero,30,172.72,69.9,FW,Argentina,89,89,64500000,4,4,High/ Medium
167495,M. Neuer,32,193.04,92.1,GK,Germany,89,89,38000000,5,1,Medium/ Medium
179813,E. Cavani,32,185.42,77.1,FW,Uruguay,89,89,60000000,4,3,High/ High
189511,Sergio Busquets,30,187.96,76.2,MF,Spain,89,89,51500000,4,3,Medium/ Medium
192119,T. Courtois,26,198.12,96.2,GK,Belgium,89,90,53500000,4,1,Medium/ Medium
192448,M. ter Stegen,26,187.96,84.8,GK,Germany,89,92,58000000,3,1,Medium/ Medium
194765,A. Griezmann,27,175.26,73,FW,France,89,90,78000000,4,4,High/ High
209331,M. Salah,26,175.26,71.2,DF,Egypt,89,90,78500000,3,4,High/ Medium
211110,P. Dybala,25,152.4,74.8,MF,Argentina,89,94,89000000,3,4,Medium/ Medium
232363,M. Škriniar,24,187.96,79.8,DF,Slovakia,86,93,53500000,1,2,Medium/ High
135507,Fernandinho,33,152.4,67.1,MF,Brazil,87,87,20500000,3,3,Medium/ High
167664,G. Higuaín,31,185.42,88.9,FW,Argentina,87,87,48500000,4,3,High/ Medium
168651,I. Rakitić,30,182.88,78,MF,Croatia,87,87,46500000,4,3,Medium/ High
172871,J. Vertonghen,31,187.96,86.2,DF,Belgium,87,87,34000000,3,3,High/ High
175943,D. Mertens,31,170.18,60.8,FW,Belgium,87,87,45000000,3,4,High/ Low
176676,Marcelo,30,175.26,79.8,DF,Brazil,87,87,36500000,4,5,High/ Low
184087,T. Alderweireld,30,185.42,81.2,DF,Belgium,87,88,44000000,3,2,Medium/ Medium
189332,Jordi Alba,29,170.18,68,DF,Spain,87,87,38000000,3,3,High/ Medium
189509,Thiago,27,175.26,69.9,MF,Spain,87,87,51500000,3,5,Medium/ Medium
192387,C. Immobile,29,185.42,84.8,FW,Italy,87,87,52000000,3,3,High/ Medium
193041,K. Navas,32,185.42,79.8,GK,Costa Rica,87,87,30500000,3,1,Medium/ Medium
197781,Isco,26,175.26,78.9,MF,Spain,87,90,62500000,3,4,High/ Medium
198710,J. Rodríguez,27,154.94,74.8,MF,Colombia,87,88,59000000,4,4,Medium/ Medium
200145,Casemiro,27,185.42,83.9,MF,Brazil,87,89,50500000,3,2,Medium/ High
201399,M. Icardi,26,154.94,74.8,FW,Argentina,87,90,64500000,3,3,Medium/ Low
206585,Kepa,24,185.42,84.8,GK,Spain,84,90,31000000,1,1,Medium/ Medium
208670,H. Ziyech,25,154.94,64.9,MF,Morocco,84,86,38000000,3,4,High/ High
209499,Fabinho,25,187.96,78,MF,Brazil,84,88,34000000,3,3,Medium/ High
211300,A. Martial,23,182.88,76.2,MF,France,84,90,42500000,3,4,Medium/ Medium
212188,T. Werner,23,154.94,74.8,FW,Germany,84,87,40000000,3,3,High/ Medium
212190,N. Süle,23,195.58,97.1,DF,Germany,84,90,36500000,2,2,Medium/ Medium
212198,Bruno Fernandes,24,152.4,68.9,MF,Portugal,84,88,40500000,2,4,High/ High
212462,Alex Telles,26,154.94,71.2,DF,Brazil,84,86,31000000,3,3,High/ Medium
216460,J. Giménez,24,185.42,79.8,DF,Uruguay,84,88,34000000,2,2,Medium/ High
216594,N. Fekir,25,172.72,74.8,MF,France,84,88,40500000,3,4,High/ Medium
220793,D. Sánchez,22,187.96,78.9,DF,Colombia,84,88,34000000,2,2,Medium/ High
220834,Marco Asensio,23,182.88,76.2,MF,Spain,84,89,41500000,3,4,High/ Medium
231443,O. Dembélé,21,152.4,67.1,DF,France,84,92,46000000,3,4,High/ Low
41,Iniesta,34,170.18,68,MF,Spain,85,85,18500000,4,4,High/ Medium
41236,Z. Ibrahimović,37,195.58,94.8,FW,Sweden,85,85,14000000,5,5,Medium/ Low
205498,Jorginho,27,154.94,67.1,MF,Italy,83,84,30000000,2,3,Medium/ Medium
205678,E. Višća,29,172.72,63,MF,Bosnia Herzegovina,83,83,26000000,2,4,High/ Medium
206113,S. Gnabry,23,175.26,74.8,MF,Germany,83,87,34000000,2,4,High/ Medium
207410,M. Kovačić,24,175.26,78,MF,Croatia,83,89,35000000,3,4,High/ High
207566,William Carvalho,26,187.96,83,MF,Portugal,83,86,27000000,3,3,Medium/ Medium
207863,Felipe,29,190.5,86.2,DF,Brazil,83,84,22500000,3,2,Medium/ High
208418,Y. Carrasco,25,154.94,73,MF,Belgium,83,86,33000000,3,4,High/ Medium
208618,Lucas Vázquez,27,172.72,69.9,DF,Spain,83,83,27000000,2,4,High/ High
208808,Q. Promes,27,175.26,72.1,MF,Netherlands,83,83,28000000,2,5,High/ Low
209658,L. Goretzka,24,187.96,78.9,MF,Germany,83,88,34000000,3,3,High/ High
210008,A. Rabiot,23,193.04,79.8,MF,France,83,87,33000000,2,3,High/ Medium
210413,A. Romagnoli,24,187.96,78,DF,Italy,83,90,31000000,2,2,Medium/ High
210514,João Cancelo,24,182.88,73.9,DF,Portugal,83,89,29500000,2,4,High/ Medium
212523,Anderson Talisca,25,190.5,79.8,MF,Brazil,83,87,34000000,2,4,High/ Low
213345,K. Coman,22,152.4,71.2,MF,France,83,88,34500000,2,5,Medium/ Low
213565,T. Lemar,23,170.18,62.1,MF,France,83,89,35500000,3,4,Medium/ Medium
213331,J. Tah,23,195.58,97.1,DF,Germany,82,87,25000000,2,2,Medium/ Medium
216409,M. Politano,25,170.18,67.1,MF,Italy,82,85,28000000,2,4,High/ Medium
220440,C. Lenglet,23,185.42,81.2,DF,France,82,88,26000000,1,2,Medium/ High
221087,Pau López,24,187.96,77.1,GK,Spain,82,87,21500000,1,1,Medium/ Medium
221992,H. Lozano,23,175.26,69.9,DF,Mexico,82,87,29500000,3,4,High/ Low
222737,Malcom,22,172.72,73.9,MF,Brazil,82,89,31500000,2,4,Medium/ Medium
223959,L. Torreira,23,167.64,64,MF,Uruguay,82,87,25000000,2,3,Medium/ High
224411,Gonçalo Guedes,22,152.4,68,MF,Portugal,82,86,29000000,1,4,High/ Medium
226226,G. Lo Celso,22,175.26,69.9,MF,Argentina,82,88,30000000,1,4,High/ Medium
226271,Fabián,22,187.96,69.9,MF,Spain,82,90,32000000,1,4,Medium/ Medium
228702,F. de Jong,21,154.94,69.9,MF,Netherlands,82,89,31000000,1,4,Medium/ Medium
230168,Raphaelito Anjos,31,190.5,84.8,GK,Brazil,82,82,14000000,1,1,Medium/ Medium
230225,Juiano Mestres,35,154.94,82.1,DF,Brazil,82,82,6500000,1,2,High/ Medium
230258,Rosberto Dourado,31,175.26,69.9,MF,Brazil,82,82,16500000,1,2,High/ Medium
230658,Arthur,22,170.18,73,MF,Brazil,82,90,32500000,1,4,Medium/ Medium
231866,Rodri,22,190.5,82.1,MF,Spain,82,87,29000000,1,4,Medium/ Medium
183498,M. Parolo,34,182.88,74.8,MF,Italy,82,82,9000000,2,3,High/ High
183574,M. Kruse,30,154.94,76.2,FW,Germany,82,82,21500000,2,4,High/ Medium
183711,J. Henderson,28,182.88,79.8,MF,England,82,82,18000000,2,3,Medium/ High
184144,N. Gaitán,31,172.72,66.2,MF,Argentina,82,82,21000000,3,4,Medium/ Medium
184200,M. Arnautović,29,193.04,83,FW,Austria,82,82,22000000,3,4,High/ Medium
184431,S. Giovinco,32,162.56,60.8,FW,Italy,82,82,20000000,2,4,High/ Medium
184484,G. Sigurðsson,29,185.42,77.1,MF,Iceland,82,82,22500000,3,3,High/ High
184942,Giuliano,28,172.72,68,MF,Brazil,82,82,22500000,2,4,High/ Medium
185122,P. Gulácsi,28,193.04,86.2,GK,Hungary,82,83,18000000,2,1,Medium/ Medium
185221,Luiz Gustavo,31,187.96,78,MF,Brazil,82,82,16500000,3,3,Medium/ High
186345,K. Trippier,28,152.4,72.1,DF,England,82,82,18500000,2,3,High/ Medium
186561,A. Ramsey,28,182.88,76.2,MF,Wales,82,82,23000000,3,3,High/ High
186627,M. Balotelli,28,187.96,88,FW,Italy,82,82,23500000,4,4,Medium/ Low
187754,Marlos,30,175.26,68.9,MF,Ukraine,82,82,21000000,2,5,Medium/ Medium
188803,Taison,31,172.72,64,MF,Brazil,82,82,21000000,2,4,Medium/ Medium
189125,G. Bonaventura,29,154.94,74.8,MF,Italy,82,82,22000000,3,4,High/ Medium
201455,G. Kondogbia,26,187.96,79.8,MF,Central African Rep.,81,84,22000000,2,4,High/ Medium
202562,J. Roussillon,26,175.26,79.8,DF,France,81,83,18000000,2,3,High/ Medium
202685,S. Zaza,27,185.42,83.9,FW,Italy,81,82,21000000,2,4,High/ High
