Id,Overall_Rating,Potential,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes,Log Value_Euro,Age,Log Predicted Value_Euro,Name,Value_Euro,Predicted Value_Euro
158023,94.0,94.0,86.0,95.0,70.0,92.0,86.0,97.0,93.0,94.0,89.0,96.0,91.0,86.0,93.0,95.0,95.0,85.0,68.0,72.0,66.0,94.0,48.0,22.0,94.0,94.0,75.0,96.0,33.0,28.0,26.0,6.0,11.0,15.0,14.0,8.0,18.52052607892208,31,14.32562684891178,L. Messi,"110,500,000","1,665,484"
190460,88.0,89.0,88.0,81.0,52.0,91.0,80.0,84.0,86.0,87.0,89.0,91.0,76.0,73.0,80.0,88.0,81.0,84.0,50.0,92.0,58.0,89.0,46.0,56.0,84.0,91.0,67.0,88.0,59.0,57.0,22.0,9.0,14.0,7.0,7.0,6.0,18.05683731053502,27,11.467626676806269,C. Eriksen,"69,499,999","95,571"
195864,88.0,91.0,80.0,75.0,75.0,86.0,85.0,87.0,85.0,82.0,90.0,90.0,71.0,79.0,76.0,82.0,66.0,90.0,83.0,88.0,87.0,82.0,78.0,64.0,82.0,88.0,82.0,87.0,63.0,67.0,67.0,5.0,6.0,2.0,4.0,3.0,18.105969999112666,25,11.841740025097495,P. Pogba,"73,000,000","138,932"
198219,88.0,88.0,86.0,77.0,56.0,85.0,74.0,90.0,87.0,77.0,78.0,93.0,94.0,86.0,94.0,83.0,93.0,75.0,53.0,75.0,44.0,84.0,34.0,26.0,83.0,87.0,61.0,83.0,51.0,24.0,22.0,8.0,4.0,14.0,9.0,10.0,17.942644943009366,27,14.29962398799347,L. Insigne,"62,000,000","1,622,735"
201024,88.0,91.0,30.0,22.0,83.0,68.0,14.0,69.0,28.0,28.0,60.0,63.0,70.0,75.0,50.0,82.0,40.0,55.0,81.0,75.0,94.0,15.0,87.0,88.0,24.0,49.0,33.0,80.0,91.0,88.0,87.0,7.0,11.0,7.0,13.0,5.0,17.909855120186375,27,13.361487197302912,K. Koulibaly,"60,000,000","635,067"
203376,88.0,90.0,53.0,52.0,83.0,79.0,45.0,70.0,60.0,70.0,81.0,76.0,74.0,77.0,61.0,87.0,49.0,81.0,88.0,75.0,92.0,64.0,82.0,88.0,41.0,60.0,62.0,87.0,90.0,89.0,84.0,13.0,10.0,13.0,11.0,11.0,17.901486870515857,27,12.282795244097818,V. van Dijk,"59,499,999","215,948"
231747,88.0,95.0,77.0,88.0,77.0,82.0,78.0,90.0,77.0,63.0,73.0,91.0,96.0,96.0,92.0,87.0,83.0,79.0,75.0,83.0,71.0,78.0,62.0,38.0,88.0,82.0,70.0,86.0,34.0,34.0,32.0,13.0,5.0,7.0,11.0,6.0,18.209959712636714,20,15.838507654975855,K. Mbappé,"81,000,000","7,560,951"
153079,89.0,89.0,70.0,93.0,77.0,81.0,85.0,89.0,82.0,73.0,64.0,89.0,88.0,80.0,86.0,90.0,91.0,88.0,81.0,76.0,73.0,83.0,65.0,24.0,92.0,83.0,83.0,90.0,30.0,20.0,12.0,13.0,15.0,6.0,11.0,14.0,17.982175781766,30,13.640220390637628,S. Agüero,"64,499,999","839,213"
167495,89.0,89.0,15.0,13.0,25.0,55.0,11.0,30.0,14.0,11.0,59.0,46.0,54.0,60.0,51.0,84.0,35.0,25.0,77.0,43.0,80.0,16.0,29.0,30.0,12.0,70.0,47.0,70.0,17.0,10.0,11.0,90.0,86.0,91.0,87.0,87.0,17.45309671769066,32,12.644431805000291,M. Neuer,"37,999,999","310,032"
179813,89.0,89.0,70.0,89.0,89.0,78.0,90.0,80.0,77.0,76.0,52.0,82.0,75.0,76.0,77.0,91.0,59.0,87.0,88.0,92.0,78.0,79.0,84.0,48.0,93.0,77.0,85.0,82.0,52.0,45.0,39.0,12.0,5.0,13.0,13.0,10.0,17.909855120186375,32,13.403440353879951,E. Cavani,"60,000,000","662,277"
189511,89.0,89.0,62.0,67.0,68.0,89.0,44.0,80.0,66.0,68.0,82.0,88.0,50.0,52.0,66.0,87.0,52.0,61.0,66.0,86.0,77.0,54.0,85.0,87.0,77.0,87.0,60.0,93.0,90.0,86.0,80.0,5.0,8.0,13.0,9.0,13.0,17.757092365633966,30,13.227023546360629,Sergio Busquets,"51,500,000","555,166"
192119,89.0,90.0,14.0,14.0,13.0,33.0,12.0,13.0,19.0,20.0,35.0,23.0,46.0,52.0,61.0,84.0,45.0,36.0,68.0,38.0,70.0,17.0,23.0,15.0,13.0,44.0,27.0,66.0,20.0,18.0,16.0,85.0,91.0,72.0,86.0,88.0,17.795192211866237,26,13.027584676520755,T. Courtois,"53,500,000","454,787"
192448,89.0,92.0,18.0,14.0,11.0,42.0,14.0,17.0,18.0,12.0,47.0,18.0,38.0,50.0,37.0,86.0,43.0,22.0,79.0,35.0,78.0,10.0,43.0,22.0,11.0,70.0,25.0,70.0,25.0,13.0,10.0,87.0,85.0,88.0,86.0,90.0,17.875953568510692,26,13.940093994101003,M. ter Stegen,"57,999,999","1,132,676"
194765,89.0,90.0,82.0,89.0,84.0,84.0,87.0,87.0,86.0,84.0,78.0,90.0,88.0,85.0,90.0,90.0,82.0,82.0,90.0,86.0,62.0,82.0,73.0,49.0,91.0,85.0,83.0,89.0,59.0,54.0,48.0,14.0,8.0,14.0,13.0,14.0,18.172219384653864,27,16.560659860583314,A. Griezmann,"77,999,999","15,566,937"
