S/N,Id,Club_Team
1,158023,FC Barcelona
2,190460,Tottenham Hotspur
3,195864,Manchester United
4,198219,Napoli
5,201024,Napoli
6,203376,Liverpool
7,231747,Paris Saint-Germain
8,153079,Manchester City
9,167495,FC Bayern München
10,179813,Paris Saint-Germain
11,189511,FC Barcelona
12,192119,Real Madrid
13,192448,FC Barcelona
14,194765,Atlético Madrid
15,209331,Liverpool
16,211110,Juventus
17,232363,Inter
18,135507,Manchester City
19,167664,Chelsea
20,168651,FC Barcelona
21,172871,Tottenham Hotspur
22,175943,Napoli
23,176676,Real Madrid
24,184087,Tottenham Hotspur
25,189332,FC Barcelona
26,189509,FC Bayern München
27,192387,Lazio
28,193041,Real Madrid
29,197781,Real Madrid
30,198710,FC Bayern München
31,200145,Real Madrid
32,201399,Inter
33,206585,Chelsea
34,208670,Ajax
35,209499,Liverpool
36,211300,Manchester United
37,212188,RB Leipzig
38,212190,FC Bayern München
39,212198,Portugal
40,212462,FC Porto
41,216460,Atlético Madrid
42,216594,Olympique Lyonnais
43,220793,Tottenham Hotspur
44,220834,Real Madrid
45,231443,FC Barcelona
46,41,Vissel Kobe
47,41236,LA Galaxy
48,205498,Chelsea
49,205678,Medipol Başakşehir FK
50,206113,FC Bayern München
51,207410,Chelsea
52,207566,Real Betis
53,207863,FC Porto
54,208418,Belgium
55,208618,Real Madrid
56,208808,Sevilla FC
57,209658,FC Bayern München
58,210008,Paris Saint-Germain
59,210413,Milan
60,210514,Juventus
61,212523,Guangzhou Evergrande Taobao FC
62,213345,FC Bayern München
63,213565,Atlético Madrid
64,213331,Bayer 04 Leverkusen
65,216409,Inter
66,220440,FC Barcelona
67,221087,Real Betis
68,221992,PSV
69,222737,FC Barcelona
70,223959,Arsenal
71,224411,Valencia CF
72,226226,Real Betis
73,226271,Napoli
74,228702,Ajax
75,230168,Grêmio
76,230225,Cruzeiro
77,230258,Atlético Mineiro
78,230658,FC Barcelona
79,231866,Atlético Madrid
80,183498,Lazio
81,183574,SV Werder Bremen
82,183711,Liverpool
83,184144,Dalian YiFang FC
84,184200,West Ham United
85,184431,Italy
86,184484,Everton
87,184942,Al Nassr
88,185122,RB Leipzig
89,185221,Olympique de Marseille
90,186345,Tottenham Hotspur
91,186561,Arsenal
92,186627,Olympique de Marseille
93,187754,Shakhtar Donetsk
94,188803,Shakhtar Donetsk
95,189125,Milan
96,201455,Valencia CF
97,202562,VfL Wolfsburg
98,202685,Torino
99,203890,Inter
100,204024,Borussia Mönchengladbach
101,204884,Manchester City
102,204923,RB Leipzig
103,205362,FC Schalke 04
104,206467,Borussia Mönchengladbach
105,207862,Borussia Mönchengladbach
106,208093,Villarreal CF
107,208135,Watford
108,209889,Borussia Dortmund
109,210243,Leicester City
110,210617,Milan
111,212194,Bayer 04 Leverkusen
112,226110,LOSC Lille
113,225953,PSV
114,226753,Ajax
115,228229,West Ham United
116,228941,Sevilla FC
117,230142,Real Sociedad
118,230234,Fluminense
119,230347,Cruzeiro
120,231943,Everton
121,234035,Real Madrid
122,234153,Valencia CF
123,234906,Olympique Lyonnais
124,235569,Olympique Lyonnais
125,239207,RC Celta
126,45186,Real Betis
127,112316,Sporting CP
128,197061,Liverpool
129,197853,Tottenham Hotspur
130,198118,VfL Wolfsburg
131,198784,Liverpool
132,199005,Brighton & Hove Albion
133,199069,Cameroon
134,199110,Fiorentina
135,199206,Beşiktaş JK
136,199416,Athletic Club de Bilbao
137,200315,Real Betis
138,201119,Shakhtar Donetsk
139,201143,Real Betis
140,201325,FC Nantes
141,201377,FC Barcelona
142,202335,Tottenham Hotspur
143,203042,Stoke City
144,49031,Chievo Verona
145,54050,DC United
146,110677,Real Sociedad
147,142707,Racing Club
148,142754,Hebei China Fortune FC
149,144622,Borussia Mönchengladbach
150,146748,RCD Espanyol
151,146760,Atlético Madrid
152,147782,Lokomotiv Moscow
153,148119,PFC CSKA Moscow
154,153244,Tigres U.A.N.L.
155,156713,Sweden
156,157960,Lokomotiv Moscow
157,158625,OGC Nice
158,159147,AS Saint-Étienne
159,161956,Inter
160,208330,Real Sociedad
161,208334,1. FC Köln
162,208498,FC Red Bull Salzburg
163,208777,FC Porto
164,209981,Girona FC
165,210324,Borussia Mönchengladbach
166,210411,FC Porto
167,210455,Wolverhampton Wanderers
168,212501,Wolverhampton Wanderers
169,213160,Spartak Moscow
170,213516,SC Braga
171,213874,LOSC Lille
172,213991,Bournemouth
173,214947,1. FSV Mainz 05
174,215057,Boca Juniors
175,215061,Boca Juniors
176,190243,Borussia Dortmund
177,190456,Bournemouth
178,190544,Beşiktaş JK
179,191076,Burnley
180,192598,Shanghai SIPG FC
181,192678,SD Eibar
182,192679,Sevilla FC
183,193152,Athletic Club de Bilbao
184,193469,Villarreal CF
185,193532,Beşiktaş JK
186,193738,Galatasaray SK
187,194229,RC Celta
188,194761,Girona FC
189,194845,AS Saint-Étienne
190,194957,Manchester United
191,195586,FC Augsburg
192,238794,Real Madrid
193,241184,Real Betis
194,80,Medipol Başakşehir FK
195,49369,Sagan Tosu
196,121944,Chicago Fire
197,124375,Beşiktaş JK
198,150418,VfB Stuttgart
199,152908,Manchester United
200,157301,Fulham
201,158121,FC Girondins de Bordeaux
202,158232,Hertha BSC
203,159065,Hebei China Fortune FC
204,161648,Stade Rennais FC
205,163155,Watford
206,163264,Burnley
207,164029,SD Eibar
208,164468,Chelsea
209,213655,Arsenal
210,213666,Chelsea
211,213732,Spartak Moscow
212,214026,Girona FC
213,214394,Colombia
214,214766,Boca Juniors
215,215223,OGC Nice
216,215466,Napoli
217,215716,Fulham
218,216065,Frosinone
219,216189,Athletic Club de Bilbao
220,216373,SC Braga
221,216393,Leicester City
222,216435,RC Celta
223,216497,Borussia Dortmund
224,216643,Olympique Lyonnais
225,199915,Brighton & Hove Albion
226,200607,Huddersfield Town
227,200641,FC Schalke 04
228,200677,Montpellier HSC
229,201046,Sampdoria
230,201510,Paris Saint-Germain
231,201922,Eintracht Frankfurt
232,202429,Eintracht Frankfurt
233,202642,Spartak Moscow
234,202750,Wolverhampton Wanderers
235,202789,SC Freiburg
236,202851,Sampdoria
237,202935,Villarreal CF
238,203106,TSG 1899 Hoffenheim
239,203299,Peru
240,203362,Southampton
241,183497,Napoli
242,190149,Athletic Club de Bilbao
243,193476,AS Saint-Étienne
244,150724,Burnley
245,159171,Al Ahli
246,186302,Cruz Azul
247,192445,VfL Wolfsburg
248,199354,West Ham United
249,158133,Lokomotiv Moscow
250,172723,Bournemouth
251,153260,Montpellier HSC
252,189606,Bayer 04 Leverkusen
253,178085,RCD Espanyol
254,173474,FC Red Bull Salzburg
255,172962,Fenerbahçe SK
256,158626,AS Saint-Étienne
257,219145,Deportivo Alavés
258,146952,CD Leganés
259,177159,Borussia Mönchengladbach
260,236295,1. FSV Mainz 05
261,229636,PSV
262,185090,Jiangsu Suning FC
263,177666,SV Werder Bremen
264,205569,Southampton
265,184575,LA Galaxy
266,172287,Deportivo Alavés
267,190717,West Ham United
268,184826,AS Monaco
269,193011,Bournemouth
270,189682,Burnley
271,164082,Beşiktaş JK
272,178416,Beşiktaş JK
273,189250,Newcastle United
274,208450,Manchester United
275,162369,Hertha BSC
276,205632,Olympique de Marseille
277,183871,Hannover 96
278,230463,Atlético Mineiro
279,219455,Deportivo Alavés
280,215871,Brighton & Hove Albion
281,189757,Al Ittihad
282,177723,Fulham
283,213051,Arsenal
284,223033,1. FC Köln
285,199737,SC Braga
286,227127,Athletic Club de Bilbao
287,196150,Junior FC
288,142902,Shakhtar Donetsk
289,212602,Real Sociedad
290,168312,Milan
291,157304,FC Barcelona
292,205431,Hannover 96
293,200054,West Ham United
294,216437,Lazio
295,205427,Al Ahli
296,183666,RCD Espanyol
297,177519,Medipol Başakşehir FK
298,172143,Ajax
299,50542,Rangers FC
300,188524,Medipol Başakşehir FK
301,185195,Shanghai Greenland Shenhua FC
302,193130,Fulham
303,225126,Montpellier HSC
304,229476,Hannover 96
305,152999,Bologna
306,224933,Udinese
307,152997,Racing Club
308,182179,Udinese
309,183714,1. FC Köln
310,177569,Eintracht Frankfurt
311,152993,Club Atlético Banfield
312,221342,VfB Stuttgart
313,201118,Inter
314,184477,Hamburger SV
315,210333,CD Leganés
316,190875,Parma
317,53914,Everton
318,211354,Fiorentina
319,194201,Leeds United
320,186521,Girona FC
321,212442,Olympiacos CFP
322,199641,RC Strasbourg Alsace
323,183512,Athletic Club de Bilbao
324,220883,River Plate
325,216531,SC Braga
326,201939,Valencia CF
327,190674,Stade Rennais FC
328,169426,Real Betis
329,218066,KRC Genk
330,231633,West Ham United
331,199633,Burnley
332,232656,Real Sociedad
333,192715,Girona FC
334,216266,Olympique Lyonnais
335,138699,Bologna
336,199626,Vitória Guimarães
337,190223,Athletic Club de Bilbao
338,161805,Udinese
339,192012,CD Leganés
340,189196,Grasshopper Club Zürich
341,188428,Girona FC
342,242444,SL Benfica
343,215051,Boca Juniors
344,171018,Rayo Vallecano
345,172553,Huddersfield Town
346,167431,VfB Stuttgart
347,188166,West Bromwich Albion
348,221701,FC Nantes
349,221445,RCD Espanyol
350,200197,San Lorenzo de Almagro
351,220932,Aston Villa
352,201988,Newcastle United
353,196144,Portimonense SC
354,210736,Chelsea
355,193839,Lazio
356,184111,Crystal Palace
357,229167,SV Werder Bremen
358,163631,Everton
359,152879,West Ham United
360,244269,Celtic
361,174381,Paraguay
362,204077,Stade Rennais FC
363,189484,Roma
364,224811,Shakhtar Donetsk
365,228650,Sporting CP
366,155946,West Ham United
367,226601,Fiorentina
368,223273,Atalanta
369,186200,Milan
370,221016,Levante UD
371,134744,Beşiktaş JK
372,183895,New York City FC
373,195671,Southampton
374,215639,Newcastle United
375,230230,Atlético Mineiro
376,199254,Cagliari
377,163925,Livorno
378,209236,Olympiacos CFP
379,139860,Olympique Lyonnais
380,162131,Tottenham Hotspur
381,143699,Beşiktaş JK
382,186961,SPAL
383,230224,Bahia
384,155984,Getafe CF
385,178284,Los Angeles FC
386,203910,Brighton & Hove Albion
387,229764,Athletic Club de Bilbao
388,208004,Ajax
389,201858,Bologna
390,143745,Medipol Başakşehir FK
391,193408,Switzerland
392,230528,Paraná
393,238463,RB Leipzig
394,189053,Empoli
395,222077,Sassuolo
396,197756,Crystal Palace
397,215930,Bayer 04 Leverkusen
398,188536,Spartak Moscow
399,146296,Villarreal CF
400,203128,Amiens SC
401,226166,RB Leipzig
402,206198,SC Freiburg
403,192427,Medipol Başakşehir FK
404,152747,Burnley
405,205995,Eintracht Frankfurt
406,221354,SV Werder Bremen
407,194728,TSG 1899 Hoffenheim
408,188840,Akhisar Belediyespor
409,182184,Brighton & Hove Albion
410,235944,RC Celta
411,190885,Bournemouth
412,201893,CD Leganés
413,189860,Watford
414,230564,Eintracht Frankfurt
415,152996,Hertha BSC
416,211108,Chongqing Dangdai Lifan FC SWM Team
417,134820,Celtic
418,232099,Hertha BSC
419,200353,LOSC Lille
420,198614,Real Sociedad
421,184789,TSG 1899 Hoffenheim
422,230613,Napoli
423,189908,Bologna
424,192722,AS Saint-Étienne
425,204497,Fortuna Düsseldorf
426,211408,Sampdoria
427,198352,1. FSV Mainz 05
428,188879,Málaga CF
429,231887,Trabzonspor
430,189390,FC Schalke 04
431,239053,Real Madrid
432,214989,Independiente
433,137677,Tottenham Hotspur
434,198861,Leicester City
435,209610,Santos Laguna
436,240900,Athletic Club de Bilbao
437,225028,RC Celta
438,186115,West Bromwich Albion
439,213761,Al Nassr
440,239872,SC Braga
441,216320,Udinese
442,768,SPAL
443,188414,Al Ittihad
444,176894,Medipol Başakşehir FK
445,220414,Bournemouth
446,205566,Liverpool
447,199422,Feyenoord
448,198140,Monterrey
449,190971,Minnesota United FC
450,212219,Stade Malherbe Caen
451,183546,Huddersfield Town
452,221479,Everton
453,193062,Udinese
454,215334,CD Leganés
455,210214,RC Celta
456,237604,Independiente
457,220196,Bournemouth
458,195363,FC Schalke 04
459,191011,Parma
460,179746,Stoke City
461,195361,RCD Espanyol
462,219681,Olympique de Marseille
463,216097,Boavista FC
464,194079,Fenerbahçe SK
465,186143,Sheffield United
466,211999,FC Augsburg
467,210463,Cádiz CF
468,208451,1. FSV Mainz 05
469,204355,Newcastle United
470,231745,RSC Anderlecht
471,230465,Botafogo
472,49472,Angers SCO
473,219712,Getafe CF
474,215616,Levante UD
475,209984,Vitória de Setúbal
476,192575,Udinese
477,198719,Southampton
478,190782,Udinese
479,183870,Panathinaikos FC
480,228414,1. FC Nürnberg
481,150590,OGC Nice
482,147006,Perth Glory
483,194365,Leicester City
484,179551,LA Galaxy
485,236639,LOSC Lille
486,222558,Roma
487,200798,SC Braga
488,213597,Chile
489,193116,Sevilla FC
490,215644,Deportivo Alavés
491,169051,Shanghai Greenland Shenhua FC
492,229723,RC Celta
493,220763,PSV
494,206427,Shakhtar Donetsk
495,173146,Cagliari
496,201818,Al Nassr
497,206424,Çaykur Rizespor
498,192087,PFC CSKA Moscow
499,210007,FC Red Bull Salzburg
500,208509,Stade de Reims
501,237692,Manchester City
502,222844,Hannover 96
503,225403,Medipol Başakşehir FK
504,134779,FC Girondins de Bordeaux
505,213114,Deportivo Alavés
506,164985,Cagliari
507,228729,Club América
508,211321,Amiens SC
509,171896,Tigres U.A.N.L.
510,236920,Roma
511,225144,South Africa
512,223608,CD Leganés
513,105846,Bournemouth
514,209782,Feyenoord
515,207734,Portimonense SC
516,189338,Monterrey
517,230042,AS Saint-Étienne
518,223898,Nîmes Olympique
519,209818,TSG 1899 Hoffenheim
520,233113,FC Barcelona
521,225945,LOSC Lille
522,215449,FC København
523,187800,Fenerbahçe SK
524,238744,FC Schalke 04
525,195479,Rangers FC
526,237207,FC Girondins de Bordeaux
527,215703,Sassuolo
528,208535,Sassuolo
529,202135,Genoa
530,184469,Cardiff City
531,244373,Dynamo Kyiv
532,235454,OGC Nice
533,215998,River Plate
534,220093,Atalanta
535,211899,SC Freiburg
536,158905,Hannover 96
537,213689,Preston North End
538,231352,Aston Villa
539,188086,Sporting CP
540,234678,KRC Genk
541,222390,Athletic Club de Bilbao
542,211382,Sevilla FC
543,209846,SC Freiburg
544,202934,Trabzonspor
545,186805,West Bromwich Albion
546,198581,Colombia
547,194996,Deportivo Alavés
548,215270,Tigres U.A.N.L.
549,184037,Crystal Palace
550,229092,Çaykur Rizespor
551,220132,Real Sociedad
552,220131,Galatasaray SK
553,244193,Sporting CP
554,157665,Crystal Palace
555,212449,Angers SCO
556,172768,Bournemouth
557,195038,1. FC Köln
558,235997,RC Celta
559,169181,Feyenoord
560,192476,Sporting Kansas City
561,214491,Tigres U.A.N.L.
562,195033,Hertha BSC
563,234201,Dynamo Kyiv
564,206594,Brighton & Hove Albion
565,199170,Fiorentina
566,198658,AZ Alkmaar
567,197890,U.N.A.M.
568,230401,Atlético Paranaense
569,221697,Brentford
570,220673,Willem II
571,212225,Beşiktaş JK
572,198657,AZ Alkmaar
573,191488,Racing Club
574,221695,Bologna
575,201215,Bologna
576,169214,Celtic
577,177149,Slovenia
578,228093,En Avant de Guingamp
579,214781,Independiente
580,205601,Newcastle United
581,186912,FC Ingolstadt 04
582,198688,Atlanta United
583,245279,Real Madrid
584,234015,Ceará Sporting Club
585,210719,VfB Stuttgart
586,194334,Middlesbrough
587,221982,Girona FC
588,215070,Club Atlético Colón
589,194333,1. FC Union Berlin
590,215069,PAOK
591,190748,Göztepe SK
592,189468,Rangers FC
593,183068,Stade Malherbe Caen
594,205340,Chicago Fire
595,45083,BSC Young Boys
596,193337,Alanyaspor
597,241721,LOSC Lille
598,207929,PAOK
599,186680,UD Las Palmas
600,194359,Galatasaray SK
601,244791,Viktoria Plzeň
602,212023,AS Saint-Étienne
603,171830,Crotone
604,200758,Reading
605,193077,Bologna
606,176693,Real Sporting de Gijón
607,205365,Viktoria Plzeň
608,190772,Sporting Kansas City
609,223284,RC Strasbourg Alsace
610,207412,GD Chaves
611,189491,Trabzonspor
612,121937,Fortuna Düsseldorf
613,224081,Leeds United
614,158800,FC Utrecht
615,209744,Chile
616,206160,Ascoli
617,237135,Vitória Guimarães
618,234575,FC Porto
619,163407,AS Monaco
620,233550,RC Strasbourg Alsace
621,215886,Real Salt Lake
622,213582,Club Atlético Aldosivi
623,196942,CA Osasuna
624,192333,Orlando City SC
625,178253,Henan Jianye FC
626,229453,Olympiacos CFP
627,223053,Club León
628,210287,1. FC Köln
629,188270,Cardiff City
630,205934,Sampdoria
631,200302,Aberdeen
632,193133,Udinese
633,203629,Russia
634,179820,New York Red Bulls
635,169324,Austria
636,202858,Club Tijuana
637,199274,Palermo
638,233064,Derby County
639,211048,Shakhtar Donetsk
640,230503,Grêmio
641,148839,VfL Wolfsburg
642,213095,Canada
643,202087,1. FC Köln
644,184457,FC Basel 1893
645,225673,TSG 1899 Hoffenheim
646,209289,Real Sociedad
647,189576,Girona FC
648,211592,Russia
649,192647,Stade Brestois 29
650,180359,SD Huesca
651,178567,Amiens SC
652,236935,FC Red Bull Salzburg
653,230021,KRC Genk
654,230276,Internacional
655,208260,Panathinaikos FC
656,194947,Olympiacos CFP
657,158851,Chile
658,202115,Hannover 96
659,164994,Wisła Kraków
660,225951,Nîmes Olympique
661,215199,San Lorenzo de Almagro
662,212127,Genoa
663,212125,Fulham
664,193692,Boavista FC
665,192156,Moreirense FC
666,191388,Fortuna Düsseldorf
667,189084,PSV
668,245660,Côte d'Ivoire
669,229788,Real Valladolid CF
670,192667,CD Leganés
671,237211,SL Benfica
672,189595,Fenerbahçe SK
673,165531,Pachuca
674,204699,Spartak Moscow
675,202395,GD Chaves
676,198331,Burnley
677,166074,Rayo Vallecano
678,178616,Málaga CF
679,232119,Leicester City
680,225719,Leicester City
681,216247,VfL Wolfsburg
682,205495,Girona FC
683,220085,SC Freiburg
684,230324,Grêmio
685,183475,Odense Boldklub
686,201139,Milan
687,234930,En Avant de Guingamp
688,200882,Padova
689,209329,Santos Laguna
690,199601,Çaykur Rizespor
691,176048,Colorado Rapids
692,203736,Angers SCO
693,200408,Burnley
694,212183,Real Valladolid CF
695,201943,FC Girondins de Bordeaux
696,192725,Fulham
697,226773,Olympique Lyonnais
698,223188,Fenerbahçe SK
699,151508,Rangers FC
700,209620,Stade de Reims
701,190931,Genoa
702,208339,Cardiff City
