Ntn_no,Play_Id,National_Team
1,158023,Argentina
2,190460,Denmark
3,195864,France
4,198219,Italy
5,201024,
6,203376,Netherlands
7,231747,France
8,153079,Argentina
9,167495,Germany
10,179813,Uruguay
11,189511,Spain
12,192119,Belgium
13,192448,Germany
14,194765,France
15,209331,Egypt
16,211110,Argentina
17,232363,
18,135507,
19,167664,
20,168651,
21,172871,Belgium
22,175943,Belgium
23,176676,
24,184087,Belgium
25,189332,Spain
26,189509,Spain
27,192387,Italy
28,193041,
29,197781,Spain
30,198710,Colombia
31,200145,
32,201399,Argentina
33,206585,Spain
34,208670,
35,209499,
36,211300,
37,212188,Germany
38,212190,Germany
39,212198,Sporting CP
40,212462,
41,216460,Uruguay
42,216594,
43,220793,Colombia
44,220834,Spain
45,231443,France
46,41,
47,41236,
48,205498,Italy
49,205678,
50,206113,Germany
51,207410,
52,207566,Portugal
53,207863,
54,208418,Dalian YiFang FC
55,208618,
56,208808,Netherlands
57,209658,Germany
58,210008,
59,210413,
60,210514,Portugal
61,212523,
62,213345,
63,213565,France
64,213331,Germany
65,216409,
66,220440,
67,221087,Spain
68,221992,Mexico
69,222737,
70,223959,Uruguay
71,224411,Portugal
72,226226,Argentina
73,226271,
74,228702,Netherlands
75,230168,Brazil
76,230225,Brazil
77,230258,Brazil
78,230658,
79,231866,Spain
80,183498,
81,183574,
82,183711,England
83,184144,
84,184200,Austria
85,184431,Al Hilal
86,184484,Iceland
87,184942,
88,185122,Hungary
89,185221,
90,186345,England
91,186561,Wales
92,186627,
93,187754,
94,188803,
95,189125,
96,201455,
97,202562,
98,202685,
99,203890,
100,204024,
101,204884,
102,204923,Austria
103,205362,
104,206467,
105,207862,Germany
106,208093,
107,208135,
108,209889,
109,210243,
110,210617,
111,212194,Germany
112,226110,
113,225953,Netherlands
114,226753,Cameroon
115,228229,
116,228941,Portugal
117,230142,
118,230234,Brazil
119,230347,Brazil
120,231943,
121,234035,
122,234153,
123,234906,
124,235569,France
125,239207,Uruguay
126,45186,
127,112316,
128,197061,
129,197853,Côte d'Ivoire
130,198118,
131,198784,
132,199005,Australia
133,199069,FC Porto
134,199110,Colombia
135,199206,
136,199416,
137,200315,
138,201119,
139,201143,
140,201325,Romania
141,201377,Colombia
142,202335,England
143,203042,England
144,49031,
145,54050,
146,110677,
147,142707,
148,142754,
149,144622,
150,146748,
151,146760,
152,147782,
153,148119,Russia
154,153244,
155,156713,
156,157960,
157,158625,
158,159147,
159,161956,
160,208330,Belgium
161,208334,Germany
162,208498,
163,208777,
164,209981,
165,210324,
166,210411,
167,210455,
168,212501,Belgium
169,213160,Russia
170,213516,
171,213874,
172,213991,Colombia
173,214947,
174,215057,
175,215061,
176,190243,
177,190456,
178,190544,
179,191076,Iceland
180,192598,
181,192678,
182,192679,
183,193152,
184,193469,
185,193532,Chile
186,193738,
187,194229,
188,194761,
189,194845,
190,194957,
191,195586,Iceland
192,238794,
193,241184,
194,80,
195,49369,
196,121944,
197,124375,
198,150418,
199,152908,England
200,157301,Netherlands
201,158121,
202,158232,
203,159065,
204,161648,
205,163155,
206,163264,
207,164029,
208,164468,
209,213655,
210,213666,
211,213732,
212,214026,
213,214394,
214,214766,
215,215223,
216,215466,
217,215716,
218,216065,
219,216189,
