Play_Id,Ls,St,Rs,Lw,Lf,Cf,Rf,Rw,Lam,Cam,Ram,Lm,Lcm,Cm,Rcm,Rm,Lwb,Ldm,Cdm,Rdm,Rwb,Lb,Lcb,Cb,Rcb,Rb,Original_Position
158023,89+2,89+2,89+2,93+2,93+2,93+2,93+2,93+2,93+2,93+2,93+2,91+2,85+2,85+2,85+2,91+2,64+2,61+2,61+2,61+2,64+2,59+2,48+2,48+2,48+2,59+2,"CF,RW,ST"
190460,79+3,79+3,79+3,85+3,84+3,84+3,84+3,85+3,86+3,86+3,86+3,86+3,85+3,85+3,85+3,86+3,71+3,71+3,71+3,71+3,71+3,66+3,57+3,57+3,57+3,66+3,"CAM,RM,CM"
195864,81+3,81+3,81+3,82+3,83+3,83+3,83+3,82+3,84+3,84+3,84+3,83+3,84+3,84+3,84+3,83+3,76+3,77+3,77+3,77+3,76+3,74+3,72+3,72+3,72+3,74+3,"CM,CAM"
198219,78+3,78+3,78+3,86+3,85+3,85+3,85+3,86+3,86+3,86+3,86+3,86+3,78+3,78+3,78+3,86+3,63+3,58+3,58+3,58+3,63+3,58+3,44+3,44+3,44+3,58+3,"LW,ST"
201024,53+3,53+3,53+3,53+3,54+3,54+3,54+3,53+3,55+3,55+3,55+3,57+3,61+3,61+3,61+3,57+3,73+3,77+3,77+3,77+3,73+3,76+3,85+3,85+3,85+3,76+3,CB
203376,68+3,68+3,68+3,66+3,67+3,67+3,67+3,66+3,68+3,68+3,68+3,68+3,73+3,73+3,73+3,68+3,78+3,82+3,82+3,82+3,78+3,80+3,86+3,86+3,86+3,80+3,CB
231747,85+3,85+3,85+3,87+3,87+3,87+3,87+3,87+3,86+3,86+3,86+3,86+3,78+3,78+3,78+3,86+3,66+3,62+3,62+3,62+3,66+3,62+3,54+3,54+3,54+3,62+3,"RW,ST,RM"
153079,86+3,86+3,86+3,86+3,87+3,87+3,87+3,86+3,85+3,85+3,85+3,83+3,76+3,76+3,76+3,83+3,58+3,56+3,56+3,56+3,58+3,53+3,47+3,47+3,47+3,53+3,ST
167495,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
179813,85+3,85+3,85+3,81+3,83+3,83+3,83+3,81+3,80+3,80+3,80+3,79+3,75+3,75+3,75+3,79+3,67+3,65+3,65+3,65+3,67+3,65+3,63+3,63+3,63+3,65+3,ST
189511,71+3,71+3,71+3,74+3,76+3,76+3,76+3,74+3,79+3,79+3,79+3,76+3,83+3,83+3,83+3,76+3,79+3,86+3,86+3,86+3,79+3,78+3,82+3,82+3,82+3,78+3,"CDM,CM"
192119,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
192448,,,,,,,,,,,,,,,,,,,,,,,,,,,GK
194765,86+3,86+3,86+3,87+3,87+3,87+3,87+3,87+3,86+3,86+3,86+3,86+3,82+3,82+3,82+3,86+3,72+3,70+3,70+3,70+3,72+3,70+3,65+3,65+3,65+3,70+3,"CF,ST"
209331,84+3,84+3,84+3,87+3,87+3,87+3,87+3,87+3,87+3,87+3,87+3,86+3,81+3,81+3,81+3,86+3,70+3,66+3,66+3,66+3,70+3,66+3,57+3,57+3,57+3,66+3,"RW,ST"
211110,83+3,83+3,83+3,87+3,86+3,86+3,86+3,87+3,87+3,87+3,87+3,86+3,79+3,79+3,79+3,86+3,62+3,58+3,58+3,58+3,62+3,56+3,45+3,45+3,45+3,56+3,"CAM,RW"
232363,58+2,58+2,58+2,57+2,57+2,57+2,57+2,57+2,59+2,59+2,59+2,60+2,66+2,66+2,66+2,60+2,74+2,79+2,79+2,79+2,74+2,77+2,84+2,84+2,84+2,77+2,CB
135507,75+3,75+3,75+3,75+3,76+3,76+3,76+3,75+3,77+3,77+3,77+3,76+3,81+3,81+3,81+3,76+3,81+3,84+3,84+3,84+3,81+3,80+3,82+3,82+3,82+3,80+3,CDM
167664,84+3,84+3,84+3,80+3,82+3,82+3,82+3,80+3,79+3,79+3,79+3,78+3,71+3,71+3,71+3,78+3,55+3,53+3,53+3,53+3,55+3,51+3,48+3,48+3,48+3,51+3,ST
168651,77+3,77+3,77+3,80+3,80+3,80+3,80+3,80+3,82+3,82+3,82+3,81+3,84+3,84+3,84+3,81+3,78+3,80+3,80+3,80+3,78+3,76+3,73+3,73+3,73+3,76+3,"CM,CDM"
172871,69+3,69+3,69+3,69+3,70+3,70+3,70+3,69+3,70+3,70+3,70+3,71+3,75+3,75+3,75+3,71+3,79+3,82+3,82+3,82+3,79+3,80+3,84+3,84+3,84+3,80+3,CB
175943,78+3,78+3,78+3,86+3,85+3,85+3,85+3,86+3,86+3,86+3,86+3,85+3,78+3,78+3,78+3,85+3,65+3,60+3,60+3,60+3,65+3,60+3,46+3,46+3,46+3,60+3,"CF,ST"
176676,81+3,81+3,81+3,85+3,84+3,84+3,84+3,85+3,84+3,84+3,84+3,85+3,84+3,84+3,84+3,85+3,84+3,82+3,82+3,82+3,84+3,83+3,80+3,80+3,80+3,83+3,LB
184087,66+3,66+3,66+3,65+3,67+3,67+3,67+3,65+3,68+3,68+3,68+3,68+3,75+3,75+3,75+3,68+3,78+3,83+3,83+3,83+3,78+3,80+3,84+3,84+3,84+3,80+3,CB
189332,76+3,76+3,76+3,82+3,79+3,79+3,79+3,82+3,80+3,80+3,80+3,83+3,80+3,80+3,80+3,83+3,85+3,80+3,80+3,80+3,85+3,84+3,78+3,78+3,78+3,84+3,LB
189509,76+3,76+3,76+3,82+3,82+3,82+3,82+3,82+3,84+3,84+3,84+3,82+3,84+3,84+3,84+3,82+3,77+3,77+3,77+3,77+3,77+3,74+3,69+3,69+3,69+3,74+3,"CM,CAM,CDM"
