Play_Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5
158023,31,170.18,72.1,94,94,110500000,5,4
190460,27,154.94,76.2,88,89,69500000,3,4
195864,25,190.5,83.9,88,91,73000000,4,5
198219,27,162.56,59,88,88,62000000,3,4
201024,27,187.96,88.9,88,91,60000000,3,2
203376,27,193.04,92.1,88,90,59500000,3,2
231747,20,152.4,73,88,95,81000000,3,5
153079,30,172.72,69.9,89,89,64500000,4,4
167495,32,193.04,92.1,89,89,38000000,5,1
179813,32,185.42,77.1,89,89,60000000,4,3
189511,30,187.96,76.2,89,89,51500000,4,3
192119,26,198.12,96.2,89,90,53500000,4,1
192448,26,187.96,84.8,89,92,58000000,3,1
194765,27,175.26,73,89,90,78000000,4,4
209331,26,175.26,71.2,89,90,78500000,3,4
211110,25,152.4,74.8,89,94,89000000,3,4
232363,24,187.96,79.8,86,93,53500000,1,2
135507,33,152.4,67.1,87,87,20500000,3,3
167664,31,185.42,88.9,87,87,48500000,4,3
168651,30,182.88,78,87,87,46500000,4,3
172871,31,187.96,86.2,87,87,34000000,3,3
175943,31,170.18,60.8,87,87,45000000,3,4
176676,30,175.26,79.8,87,87,36500000,4,5
184087,30,185.42,81.2,87,88,44000000,3,2
189332,29,170.18,68,87,87,38000000,3,3
189509,27,175.26,69.9,87,87,51500000,3,5
192387,29,185.42,84.8,87,87,52000000,3,3
193041,32,185.42,79.8,87,87,30500000,3,1
197781,26,175.26,78.9,87,90,62500000,3,4
198710,27,154.94,74.8,87,88,59000000,4,4
200145,27,185.42,83.9,87,89,50500000,3,2
201399,26,154.94,74.8,87,90,64500000,3,3
206585,24,185.42,84.8,84,90,31000000,1,1
208670,25,154.94,64.9,84,86,38000000,3,4
209499,25,187.96,78,84,88,34000000,3,3
211300,23,182.88,76.2,84,90,42500000,3,4
212188,23,154.94,74.8,84,87,40000000,3,3
212190,23,195.58,97.1,84,90,36500000,2,2
212198,24,152.4,68.9,84,88,40500000,2,4
212462,26,154.94,71.2,84,86,31000000,3,3
216460,24,185.42,79.8,84,88,34000000,2,2
216594,25,172.72,74.8,84,88,40500000,3,4
220793,22,187.96,78.9,84,88,34000000,2,2
220834,23,182.88,76.2,84,89,41500000,3,4
231443,21,152.4,67.1,84,92,46000000,3,4
41,34,170.18,68,85,85,18500000,4,4
41236,37,195.58,94.8,85,85,14000000,5,5
205498,27,154.94,67.1,83,84,30000000,2,3
205678,29,172.72,63,83,83,26000000,2,4
206113,23,175.26,74.8,83,87,34000000,2,4
207410,24,175.26,78,83,89,35000000,3,4
207566,26,187.96,83,83,86,27000000,3,3
207863,29,190.5,86.2,83,84,22500000,3,2
208418,25,154.94,73,83,86,33000000,3,4
208618,27,172.72,69.9,83,83,27000000,2,4
208808,27,175.26,72.1,83,83,28000000,2,5
209658,24,187.96,78.9,83,88,34000000,3,3
210008,23,193.04,79.8,83,87,33000000,2,3
210413,24,187.96,78,83,90,31000000,2,2
210514,24,182.88,73.9,83,89,29500000,2,4
212523,25,190.5,79.8,83,87,34000000,2,4
213345,22,152.4,71.2,83,88,34500000,2,5
213565,23,170.18,62.1,83,89,35500000,3,4
213331,23,195.58,97.1,82,87,25000000,2,2
216409,25,170.18,67.1,82,85,28000000,2,4
220440,23,185.42,81.2,82,88,26000000,1,2
221087,24,187.96,77.1,82,87,21500000,1,1
