,Id,Name,Age,Height_Cm,Weight_Kgs,Positions,Nationality,Overall_Rating,Potential,Value_Euro,International_Reputation_1_5,Skill_Moves_1_5,Work_Rate
0,158023,L. Messi,31,170.18,72.1,FW,Argentina,94,94,110500000,5,4,Medium/ Low
1,190460,C. Eriksen,27,154.94,76.2,MF,Denmark,88,89,69500000,3,4,High/ Medium
2,195864,P. Pogba,25,190.5,83.9,MF,France,88,91,73000000,4,5,High/ Medium
3,198219,L. Insigne,27,162.56,59,MF,Italy,88,88,62000000,3,4,High/ Medium
4,201024,K. Koulibaly,27,187.96,88.9,DF,Senegal,88,91,60000000,3,2,High/ High
5,203376,V. van Dijk,27,193.04,92.1,DF,Netherlands,88,90,59500000,3,2,Medium/ Medium
6,231747,K. Mbappé,20,152.4,73,DF,France,88,95,81000000,3,5,High/ Medium
7,153079,S. Agüero,30,172.72,69.9,FW,Argentina,89,89,64500000,4,4,High/ Medium
8,167495,M. Neuer,32,193.04,92.1,GK,Germany,89,89,38000000,5,1,Medium/ Medium
9,179813,E. Cavani,32,185.42,77.1,FW,Uruguay,89,89,60000000,4,3,High/ High
10,189511,Sergio Busquets,30,187.96,76.2,MF,Spain,89,89,51500000,4,3,Medium/ Medium
11,192119,T. Courtois,26,198.12,96.2,GK,Belgium,89,90,53500000,4,1,Medium/ Medium
12,192448,M. ter Stegen,26,187.96,84.8,GK,Germany,89,92,58000000,3,1,Medium/ Medium
13,194765,A. Griezmann,27,175.26,73,FW,France,89,90,78000000,4,4,High/ High
14,209331,M. Salah,26,175.26,71.2,DF,Egypt,89,90,78500000,3,4,High/ Medium
15,211110,P. Dybala,25,152.4,74.8,MF,Argentina,89,94,89000000,3,4,Medium/ Medium
16,232363,M. Škriniar,24,187.96,79.8,DF,Slovakia,86,93,53500000,1,2,Medium/ High
17,135507,Fernandinho,33,152.4,67.1,MF,Brazil,87,87,20500000,3,3,Medium/ High
18,167664,G. Higuaín,31,185.42,88.9,FW,Argentina,87,87,48500000,4,3,High/ Medium
19,168651,I. Rakitić,30,182.88,78,MF,Croatia,87,87,46500000,4,3,Medium/ High
20,172871,J. Vertonghen,31,187.96,86.2,DF,Belgium,87,87,34000000,3,3,High/ High
21,175943,D. Mertens,31,170.18,60.8,FW,Belgium,87,87,45000000,3,4,High/ Low
22,176676,Marcelo,30,175.26,79.8,DF,Brazil,87,87,36500000,4,5,High/ Low
