player_name,value_euro,predicted_value_euro,age,sliding_tackle,agility,short_passing,interceptions,jumping,positioning,curve,crossing,freekick_accuracy
L. Messi,"110,500,000","1,269,576",31,26,93,92,22,68,94,93,86,94
C. Eriksen,"69,499,999","82,200",27,22,80,91,56,50,84,86,88,87
P. Pogba,"73,000,000","159,827",25,67,76,86,64,83,82,85,80,82
L. Insigne,"62,000,000","1,606,110",27,22,94,85,26,53,83,87,86,77
K. Koulibaly,"60,000,000","672,581",27,87,50,68,88,81,24,28,30,28
V. van Dijk,"59,499,999","245,152",27,84,61,79,88,88,41,60,53,70
K. Mbappé,"81,000,000","6,202,887",20,32,92,82,38,75,88,77,77,63
S. Agüero,"64,499,999","870,953",30,12,86,81,24,81,92,82,70,73
M. Neuer,"37,999,999","350,553",32,11,51,55,30,77,12,14,15,11
E. Cavani,"60,000,000","518,341",32,39,77,78,48,88,93,77,70,76
Sergio Busquets,"51,500,000","764,799",30,80,66,89,87,66,77,66,62,68
T. Courtois,"53,500,000","439,470",26,16,61,33,15,68,13,19,14,20
M. ter Stegen,"57,999,999","1,224,652",26,10,37,42,22,79,11,18,18,12
A. Griezmann,"77,999,999","17,585,164",27,48,90,84,49,90,91,86,82,84
M. Salah,"78,500,000","648,248",26,41,91,83,55,68,92,83,78,60
P. Dybala,"89,000,000","534,045",25,20,91,87,32,75,84,88,82,88
M. Škriniar,"53,500,000","432,336",24,84,48,73,86,78,30,34,40,30
Fernandinho,"20,499,999","540,406",33,80,72,85,89,78,70,70,68,72
G. Higuaín,"48,500,000","325,322",31,18,75,74,20,79,92,74,68,62
I. Rakitić,"46,500,000","54,421",30,73,73,87,81,39,80,88,84,82
J. Vertonghen,"34,000,000","299,323",31,88,61,79,89,85,60,63,72,73
D. Mertens,"45,000,000","1,298,815",31,40,94,82,36,60,87,82,77,79
Marcelo,"36,499,999","274,803",30,83,86,84,83,76,85,85,90,67
T. Alderweireld,"44,000,000","1,845,160",30,86,60,79,87,84,58,63,64,69
Jordi Alba,"37,999,999","560,855",29,84,90,84,84,81,80,80,87,63
Thiago,"51,500,000","257,663",27,71,90,90,78,75,79,85,72,77
C. Immobile,"51,999,999","1,207,546",29,32,77,74,40,77,91,70,55,51
K. Navas,"30,500,000","107,110",32,14,60,30,20,74,16,11,11,15
Isco,"62,499,999","1,220,161",26,51,87,86,64,64,78,88,75,76
J. Rodríguez,"58,999,999","1,755,773",27,44,83,89,55,54,80,89,90,86
Casemiro,"50,500,000","15,636,888",27,86,62,83,86,88,69,63,58,74
M. Icardi,"64,499,999","8,080,554",26,20,76,73,22,94,92,58,46,45
Kepa,"30,999,999","466,022",24,16,41,32,21,71,15,25,25,19
H. Ziyech,"37,999,999","631,649",25,36,86,86,62,38,76,90,84,78
Fabinho,"34,000,000","4,710,735",25,84,69,83,84,75,70,71,79,53
A. Martial,"42,499,999","1,420,274",23,36,85,78,42,74,83,84,76,54
T. Werner,"40,000,000","1,423,940",23,19,81,77,37,78,85,63,69,56
N. Süle,"36,499,999","2,359,321",23,83,33,78,82,38,26,28,30,30
Bruno Fernandes,"40,499,999","22,694,275",24,57,77,85,71,72,81,86,84,85
Alex Telles,"30,999,999","16,479,337",26,79,73,83,80,81,76,87,89,79
J. Giménez,"34,000,000","676,412",24,87,56,68,85,90,24,36,47,44
N. Fekir,"40,499,999","90,152",25,25,84,83,28,69,81,81,83,79
D. Sánchez,"34,000,000","35,694",22,88,60,77,82,73,34,30,36,27
Marco Asensio,"41,499,999","1,087,037",23,39,79,83,45,58,82,83,82,76
O. Dembélé,"46,000,000","2,618,619",21,33,90,79,36,59,79,82,81,64
Iniesta,"18,499,999","4,757,396",34,56,79,90,65,47,78,80,77,70
Z. Ibrahimović,"13,999,999","4,829,168",37,24,75,79,20,68,85,82,73,82
Jorginho,"29,999,999","627,304",27,70,77,89,76,58,68,75,75,76
E. Višća,"26,000,000","596,717",29,40,93,82,52,69,83,74,80,60
S. Gnabry,"34,000,000","745,827",23,45,86,79,38,64,80,64,74,62
M. Kovačić,"35,000,000","181,101",24,63,85,87,76,63,71,78,73,68
William Carvalho,"26,999,999","353,294",26,67,51,81,81,69,64,79,68,50
Felipe,"22,499,999","405,978",29,79,52,74,81,90,34,32,45,30
Y. Carrasco,"32,999,999","633,094",25,26,88,77,18,68,81,81,78,78
Lucas Vázquez,"26,999,999","1,984,051",27,61,86,83,62,68,82,82,83,71
Q. Promes,"28,000,000","139,118",27,32,87,78,33,82,79,75,79,76
L. Goretzka,"34,000,000","438,778",24,74,76,84,82,74,79,76,75,75
A. Rabiot,"32,999,999","344,220",23,75,79,85,80,73,76,73,70,59
A. Romagnoli,"30,999,999","2,185,735",24,82,60,72,86,78,31,36,36,24
João Cancelo,"29,500,000","331,522",24,79,78,79,77,73,78,83,86,69
Anderson Talisca,"34,000,000","240,255",25,42,76,81,58,58,86,86,78,87
K. Coman,"34,499,999","44,265",22,15,88,77,23,75,79,84,81,70
T. Lemar,"35,500,000","961,194",23,63,87,84,66,71,78,85,83,81
J. Tah,"25,000,000","406,251",23,84,48,74,80,72,27,30,35,27
M. Politano,"28,000,000","775,601",25,29,90,80,38,50,77,79,80,77
C. Lenglet,"26,000,000","1,770,112",23,80,62,78,82,85,50,25,36,27
Pau López,"21,500,000","3,495,409",24,11,40,38,16,71,20,23,24,21
H. Lozano,"29,500,000","487,138",23,29,91,74,45,67,78,72,75,65
Malcom,"31,499,999","1,505,136",22,17,92,80,26,58,78,77,79,81
