Player_Id,Overall_Rating,Potential,Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Log_Value_Euro,Age,Log_Predicted_Value_Euro,Player_Name,Value_Euro,Predicted_Value_Euro
158023,94.0,94.0,86.0,95.0,70.0,92.0,86.0,97.0,93.0,94.0,89.0,96.0,91.0,86.0,93.0,95.0,95.0,85.0,68.0,72.0,66.0,94.0,48.0,22.0,94.0,94.0,75.0,96.0,33.0,28.0,26.0,18.52052607892208,31,14.054193651480952,L. Messi,"110,500,000","1,269,576"
190460,88.0,89.0,88.0,81.0,52.0,91.0,80.0,84.0,86.0,87.0,89.0,91.0,76.0,73.0,80.0,88.0,81.0,84.0,50.0,92.0,58.0,89.0,46.0,56.0,84.0,91.0,67.0,88.0,59.0,57.0,22.0,18.05683731053502,27,11.316916367171483,C. Eriksen,"69,499,999","82,200"
195864,88.0,91.0,80.0,75.0,75.0,86.0,85.0,87.0,85.0,82.0,90.0,90.0,71.0,79.0,76.0,82.0,66.0,90.0,83.0,88.0,87.0,82.0,78.0,64.0,82.0,88.0,82.0,87.0,63.0,67.0,67.0,18.105969999112666,25,11.981849669935826,P. Pogba,"73,000,000","159,827"
198219,88.0,88.0,86.0,77.0,56.0,85.0,74.0,90.0,87.0,77.0,78.0,93.0,94.0,86.0,94.0,83.0,93.0,75.0,53.0,75.0,44.0,84.0,34.0,26.0,83.0,87.0,61.0,83.0,51.0,24.0,22.0,17.942644943009366,27,14.289325856608926,L. Insigne,"62,000,000","1,606,110"
201024,88.0,91.0,30.0,22.0,83.0,68.0,14.0,69.0,28.0,28.0,60.0,63.0,70.0,75.0,50.0,82.0,40.0,55.0,81.0,75.0,94.0,15.0,87.0,88.0,24.0,49.0,33.0,80.0,91.0,88.0,87.0,17.909855120186375,27,13.4188786333681,K. Koulibaly,"60,000,000","672,581"
203376,88.0,90.0,53.0,52.0,83.0,79.0,45.0,70.0,60.0,70.0,81.0,76.0,74.0,77.0,61.0,87.0,49.0,81.0,88.0,75.0,92.0,64.0,82.0,88.0,41.0,60.0,62.0,87.0,90.0,89.0,84.0,17.901486870515857,27,12.409635518538337,V. van Dijk,"59,499,999","245,152"
231747,88.0,95.0,77.0,88.0,77.0,82.0,78.0,90.0,77.0,63.0,73.0,91.0,96.0,96.0,92.0,87.0,83.0,79.0,75.0,83.0,71.0,78.0,62.0,38.0,88.0,82.0,70.0,86.0,34.0,34.0,32.0,18.209959712636714,20,15.640525467380453,K. Mbappé,"81,000,000","6,202,887"
153079,89.0,89.0,70.0,93.0,77.0,81.0,85.0,89.0,82.0,73.0,64.0,89.0,88.0,80.0,86.0,90.0,91.0,88.0,81.0,76.0,73.0,83.0,65.0,24.0,92.0,83.0,83.0,90.0,30.0,20.0,12.0,17.982175781766,30,13.677343645139924,S. Agüero,"64,499,999","870,953"
167495,89.0,89.0,15.0,13.0,25.0,55.0,11.0,30.0,14.0,11.0,59.0,46.0,54.0,60.0,51.0,84.0,35.0,25.0,77.0,43.0,80.0,16.0,29.0,30.0,12.0,70.0,47.0,70.0,17.0,10.0,11.0,17.45309671769066,32,12.767269844663014,M. Neuer,"37,999,999","350,553"
179813,89.0,89.0,70.0,89.0,89.0,78.0,90.0,80.0,77.0,76.0,52.0,82.0,75.0,76.0,77.0,91.0,59.0,87.0,88.0,92.0,78.0,79.0,84.0,48.0,93.0,77.0,85.0,82.0,52.0,45.0,39.0,17.909855120186375,32,13.158389569800104,E. Cavani,"60,000,000","518,341"
189511,89.0,89.0,62.0,67.0,68.0,89.0,44.0,80.0,66.0,68.0,82.0,88.0,50.0,52.0,66.0,87.0,52.0,61.0,66.0,86.0,77.0,54.0,85.0,87.0,77.0,87.0,60.0,93.0,90.0,86.0,80.0,17.757092365633966,30,13.547369335073533,Sergio Busquets,"51,500,000","764,799"
