Player_Id,player_name,value_euro,predicted_value_euro,age,sliding_tackle,agility,short_passing,interceptions,jumping,positioning,curve,crossing,freekick_accuracy
158023,L. Messi,"110,500,000","1,269,576",31,26,93,92,22,68,94,93,86,94
190460,C. Eriksen,"69,499,999","82,200",27,22,80,91,56,50,84,86,88,87
195864,P. Pogba,"73,000,000","159,827",25,67,76,86,64,83,82,85,80,82
198219,L. Insigne,"62,000,000","1,606,110",27,22,94,85,26,53,83,87,86,77
201024,K. Koulibaly,"60,000,000","672,581",27,87,50,68,88,81,24,28,30,28
203376,V. van Dijk,"59,499,999","245,152",27,84,61,79,88,88,41,60,53,70
231747,K. Mbappé,"81,000,000","6,202,887",20,32,92,82,38,75,88,77,77,63
153079,S. Agüero,"64,499,999","870,953",30,12,86,81,24,81,92,82,70,73
167495,M. Neuer,"37,999,999","350,553",32,11,51,55,30,77,12,14,15,11
179813,E. Cavani,"60,000,000","518,341",32,39,77,78,48,88,93,77,70,76
189511,Sergio Busquets,"51,500,000","764,799",30,80,66,89,87,66,77,66,62,68
192119,T. Courtois,"53,500,000","439,470",26,16,61,33,15,68,13,19,14,20
192448,M. ter Stegen,"57,999,999","1,224,652",26,10,37,42,22,79,11,18,18,12
194765,A. Griezmann,"77,999,999","17,585,164",27,48,90,84,49,90,91,86,82,84
209331,M. Salah,"78,500,000","648,248",26,41,91,83,55,68,92,83,78,60
211110,P. Dybala,"89,000,000","534,045",25,20,91,87,32,75,84,88,82,88
232363,M. Škriniar,"53,500,000","432,336",24,84,48,73,86,78,30,34,40,30
135507,Fernandinho,"20,499,999","540,406",33,80,72,85,89,78,70,70,68,72
167664,G. Higuaín,"48,500,000","325,322",31,18,75,74,20,79,92,74,68,62
168651,I. Rakitić,"46,500,000","54,421",30,73,73,87,81,39,80,88,84,82
172871,J. Vertonghen,"34,000,000","299,323",31,88,61,79,89,85,60,63,72,73
175943,D. Mertens,"45,000,000","1,298,815",31,40,94,82,36,60,87,82,77,79
176676,Marcelo,"36,499,999","274,803",30,83,86,84,83,76,85,85,90,67
184087,T. Alderweireld,"44,000,000","1,845,160",30,86,60,79,87,84,58,63,64,69
189332,Jordi Alba,"37,999,999","560,855",29,84,90,84,84,81,80,80,87,63
189509,Thiago,"51,500,000","257,663",27,71,90,90,78,75,79,85,72,77
192387,C. Immobile,"51,999,999","1,207,546",29,32,77,74,40,77,91,70,55,51
193041,K. Navas,"30,500,000","107,110",32,14,60,30,20,74,16,11,11,15
197781,Isco,"62,499,999","1,220,161",26,51,87,86,64,64,78,88,75,76
198710,J. Rodríguez,"58,999,999","1,755,773",27,44,83,89,55,54,80,89,90,86
200145,Casemiro,"50,500,000","15,636,888",27,86,62,83,86,88,69,63,58,74
201399,M. Icardi,"64,499,999","8,080,554",26,20,76,73,22,94,92,58,46,45
206585,Kepa,"30,999,999","466,022",24,16,41,32,21,71,15,25,25,19
208670,H. Ziyech,"37,999,999","631,649",25,36,86,86,62,38,76,90,84,78
209499,Fabinho,"34,000,000","4,710,735",25,84,69,83,84,75,70,71,79,53
211300,A. Martial,"42,499,999","1,420,274",23,36,85,78,42,74,83,84,76,54
212188,T. Werner,"40,000,000","1,423,940",23,19,81,77,37,78,85,63,69,56
212190,N. Süle,"36,499,999","2,359,321",23,83,33,78,82,38,26,28,30,30
212198,Bruno Fernandes,"40,499,999","22,694,275",24,57,77,85,71,72,81,86,84,85
212462,Alex Telles,"30,999,999","16,479,337",26,79,73,83,80,81,76,87,89,79
216460,J. Giménez,"34,000,000","676,412",24,87,56,68,85,90,24,36,47,44
216594,N. Fekir,"40,499,999","90,152",25,25,84,83,28,69,81,81,83,79
220793,D. Sánchez,"34,000,000","35,694",22,88,60,77,82,73,34,30,36,27
220834,Marco Asensio,"41,499,999","1,087,037",23,39,79,83,45,58,82,83,82,76
231443,O. Dembélé,"46,000,000","2,618,619",21,33,90,79,36,59,79,82,81,64
41,Iniesta,"18,499,999","4,757,396",34,56,79,90,65,47,78,80,77,70
41236,Z. Ibrahimović,"13,999,999","4,829,168",37,24,75,79,20,68,85,82,73,82
205498,Jorginho,"29,999,999","627,304",27,70,77,89,76,58,68,75,75,76
205678,E. Višća,"26,000,000","596,717",29,40,93,82,52,69,83,74,80,60
206113,S. Gnabry,"34,000,000","745,827",23,45,86,79,38,64,80,64,74,62
207410,M. Kovačić,"35,000,000","181,101",24,63,85,87,76,63,71,78,73,68
207566,William Carvalho,"26,999,999","353,294",26,67,51,81,81,69,64,79,68,50
207863,Felipe,"22,499,999","405,978",29,79,52,74,81,90,34,32,45,30
208418,Y. Carrasco,"32,999,999","633,094",25,26,88,77,18,68,81,81,78,78
208618,Lucas Vázquez,"26,999,999","1,984,051",27,61,86,83,62,68,82,82,83,71
208808,Q. Promes,"28,000,000","139,118",27,32,87,78,33,82,79,75,79,76
209658,L. Goretzka,"34,000,000","438,778",24,74,76,84,82,74,79,76,75,75
210008,A. Rabiot,"32,999,999","344,220",23,75,79,85,80,73,76,73,70,59
210413,A. Romagnoli,"30,999,999","2,185,735",24,82,60,72,86,78,31,36,36,24
210514,João Cancelo,"29,500,000","331,522",24,79,78,79,77,73,78,83,86,69
212523,Anderson Talisca,"34,000,000","240,255",25,42,76,81,58,58,86,86,78,87
213345,K. Coman,"34,499,999","44,265",22,15,88,77,23,75,79,84,81,70
213565,T. Lemar,"35,500,000","961,194",23,63,87,84,66,71,78,85,83,81
213331,J. Tah,"25,000,000","406,251",23,84,48,74,80,72,27,30,35,27
216409,M. Politano,"28,000,000","775,601",25,29,90,80,38,50,77,79,80,77
220440,C. Lenglet,"26,000,000","1,770,112",23,80,62,78,82,85,50,25,36,27
221087,Pau López,"21,500,000","3,495,409",24,11,40,38,16,71,20,23,24,21
221992,H. Lozano,"29,500,000","487,138",23,29,91,74,45,67,78,72,75,65
222737,Malcom,"31,499,999","1,505,136",22,17,92,80,26,58,78,77,79,81
223959,L. Torreira,"25,000,000","268,560",23,77,85,83,86,52,65,70,74,78
224411,Gonçalo Guedes,"29,000,000","1,231,791",22,30,85,77,50,65,77,76,78,70
226226,G. Lo Celso,"29,999,999","823,837",22,67,82,82,65,64,79,82,75,72
226271,Fabián,"32,000,000","1,195,023",22,75,73,80,77,46,80,75,72,59
228702,F. de Jong,"30,999,999","6,977,492",21,70,84,87,78,76,66,82,75,64
230168,Raphaelito Anjos,"13,999,999","1,196,487",31,13,34,18,23,67,27,9,10,18
230225,Juiano Mestres,"6,500,000","420,299",35,84,61,67,82,91,58,72,40,58
230258,Rosberto Dourado,"16,500,000","2,180,467",31,80,72,82,82,43,58,54,61,57
230658,Arthur,"32,500,000","2,808,394",22,70,79,86,75,78,77,68,70,60
231866,Rodri,"29,000,000","658,897",22,74,69,84,81,69,75,65,63,54
183498,M. Parolo,"8,999,999","729,990",34,82,67,80,80,77,82,67,70,55
183574,M. Kruse,"21,500,000","170,362",30,34,74,84,41,65,85,80,81,69
183711,J. Henderson,"18,000,000","214,584",28,76,68,84,80,79,75,80,81,74
184144,N. Gaitán,"20,999,999","1,327,314",31,43,87,81,40,81,77,88,80,72
184200,M. Arnautović,"21,999,999","1,733,470",29,39,69,78,44,67,83,79,78,72
184431,S. Giovinco,"19,999,999","382,143",32,28,94,80,26,34,83,90,72,93
184484,G. Sigurðsson,"22,499,999","79,758",29,55,68,85,55,68,79,87,86,86
184942,Giuliano,"22,499,999","6,317,886",28,38,85,82,42,61,81,67,77,71
185122,P. Gulácsi,"18,000,000","2,450,998",28,20,41,29,23,67,11,18,16,11
185221,Luiz Gustavo,"16,500,000","351,921",31,84,65,79,83,76,53,42,63,60
186345,K. Trippier,"18,499,999","39,290,659",28,79,74,79,79,73,75,87,91,83
186561,A. Ramsey,"22,999,999","27,214,373",28,67,73,84,69,66,84,70,75,66
186627,M. Balotelli,"23,499,999","1,577,209",28,20,71,78,30,74,78,78,68,78
187754,Marlos,"20,999,999","1,478,420",30,42,92,81,51,68,77,82,76,72
188803,Taison,"20,999,999","1,799,579",31,40,90,77,49,62,74,52,73,73
189125,G. Bonaventura,"21,999,999","206,865",29,68,77,84,72,69,78,78,82,78
201455,G. Kondogbia,"21,999,999","773,779",26,82,76,81,79,81,77,62,65,56
202562,J. Roussillon,"18,000,000","4,442,204",26,79,77,77,77,73,71,75,81,56
202685,S. Zaza,"20,999,999","268,421",27,50,76,71,40,89,83,71,52,56
203890,S. Vrsaljko,"15,000,000","584,245",27,77,67,77,80,85,65,70,82,57
204024,C. Kramer,"16,999,999","689,329",28,76,66,80,81,51,70,54,61,51
204884,B. Mendy,"19,999,999","4,903,810",24,81,68,80,79,71,77,80,87,34
204923,M. Sabitzer,"22,499,999","81,001",24,51,75,79,55,75,81,74,70,63
205362,M. Nastasić,"18,499,999","246,197",25,87,65,73,78,81,30,72,46,68
206467,A. Plea,"21,999,999","5,804,868",25,30,79,76,39,75,83,78,78,74
207862,M. Ginter,"18,499,999","399,837",25,77,55,77,80,65,55,44,68,42
208093,Gerard Moreno,"21,999,999","777,861",26,41,70,75,40,73,83,69,61,56
208135,A. Doucouré,"19,499,999","156,988",26,75,60,82,82,72,73,41,68,42
209889,R. Guerreiro,"22,499,999","2,188,426",25,77,88,84,84,63,77,84,85,82
210243,Ricardo Pereira,"18,499,999","1,330,658",25,76,82,80,81,74,75,78,81,45
210617,Samu Castillejo,"22,999,999","3,785,228",24,25,83,80,50,63,80,78,80,75
212194,J. Brandt,"25,000,000","527,882",22,24,82,81,29,63,78,72,77,59
226110,N. Pépé,"21,999,999","3,551,001",23,25,90,72,25,68,78,79,69,65
225953,S. Bergwijn,"20,499,999","123,092",21,26,79,76,30,71,77,76,73,66
226753,A. Onana,"14,500,000","593,060",22,14,68,33,15,80,11,30,15,17
228229,F. Balbuena,"15,500,000","322,898",27,76,42,71,80,73,27,30,33,34
228941,André Silva,"20,999,999","417,219",23,35,77,69,55,84,84,69,59,33
230142,Oyarzabal,"20,999,999","554,772",21,30,70,80,29,58,80,69,81,71
230234,Everton Andrão,"4,500,000","153,975",35,77,78,78,79,67,54,48,75,73
230347,Welington Dano,"10,500,000","950,833",31,81,83,78,77,71,72,83,82,52
231943,Richarlison,"20,999,999","4,831,543",21,36,78,75,35,80,79,71,69,65
234035,Odriozola,"18,499,999","329,931",23,80,78,77,75,71,68,69,81,30
234153,Carlos Soler,"20,999,999","1,003,604",22,56,75,84,68,59,76,69,79,82
234906,H. Aouar,"23,499,999","254,694",20,63,81,84,66,61,73,78,68,59
235569,T. Ndombele,"22,499,999","263,102",22,69,83,83,73,63,70,67,67,63
239207,M. Gómez,"20,499,999","133,360",22,23,45,76,21,73,83,68,56,53
45186,Joaquín,"6,000,000","337,934",37,39,72,83,35,33,81,86,86,77
112316,J. Mathieu,"5,499,999","937,523",35,82,52,73,82,65,58,82,79,79
197061,J. Matip,"15,000,000","473,683",27,78,55,77,83,66,51,63,54,22
197853,S. Aurier,"15,500,000","7,727,994",26,82,73,78,79,94,72,69,83,30
198118,J. Guilavogui,"13,999,999","129,644",28,82,53,78,83,76,61,42,52,53
198784,A. Oxlade-Chamberlain,"19,499,999","390,868",25,66,81,80,72,69,79,73,78,60
199005,M. Ryan,"12,999,999","61,435",26,17,53,40,23,78,10,23,23,12
199069,V. Aboubakar,"17,499,999","2,793,501",27,19,72,75,33,78,80,80,57,67
199110,L. Muriel,"17,499,999","463,726",27,22,85,75,16,62,81,77,62,60
199206,D. Vida,"11,500,000","793,268",29,83,64,66,81,79,43,44,65,35
199416,Ibai Gómez,"15,000,000","783,335",29,55,79,77,45,66,78,85,79,81
200315,Cristian Tello,"15,999,999","116,547",27,26,82,77,33,72,74,81,78,72
201119,Ismaily,"11,500,000","729,228",29,75,72,81,79,59,82,65,80,50
201143,A. Mandi,"15,500,000","23,967,672",27,84,78,79,84,82,67,67,78,49
201325,C. Tătăruşanu,"8,500,000","526,834",33,12,51,37,26,66,13,11,13,11
201377,J. Murillo,"15,999,999","129,693",26,82,77,68,81,89,45,38,56,26
202335,E. Dier,"16,500,000","119,790",25,83,52,77,81,77,53,60,67,74
203042,J. Butland,"13,999,999","814,968",25,11,55,40,27,76,16,12,11,14
49031,S. Sorrentino,"999,999","470,320",39,13,52,36,25,74,10,14,11,11
54050,W. Rooney,"12,000,000","22,012,884",33,40,66,81,56,74,80,84,73,83
110677,Moyá,"6,000,000","285,486",34,14,54,31,11,62,10,16,11,12
142707,L. López,"6,999,999","11,702,597",36,34,84,72,52,84,82,78,66,73
142754,J. Mascherano,"4,500,000","1,751,858",34,82,72,79,85,80,51,63,63,50
144622,Raffael,"9,499,999","527,160",33,31,83,83,45,70,82,79,78,77
146748,Diego López,"1,999,999","964,695",37,14,48,28,16,68,11,10,11,11
146760,Juanfran,"5,499,999","1,453,141",34,80,74,77,76,68,68,80,81,59
147782,I. Denisov,"4,500,000","2,824,746",34,73,77,82,80,70,64,62,66,54
148119,I. Akinfeev,"8,500,000","509,726",32,13,53,23,17,62,11,19,19,13
153244,A. Gignac,"12,000,000","565,603",33,23,66,71,51,72,81,77,72,70
157960,Manuel Fernandes,"11,500,000","2,746,060",33,68,82,80,68,74,75,79,77,70
158625,Dante,"4,500,000","416,783",35,80,52,74,79,65,41,51,58,55
159147,L. Perrin,"8,500,000","954,207",33,82,63,74,83,81,58,59,65,51
161956,Borja Valero,"8,999,999","2,601,699",34,62,72,89,70,67,69,78,78,76
208330,A. Januzaj,"17,499,999","524,263",24,22,85,79,36,61,76,80,82,65
208334,J. Hector,"10,000,000","400,326",28,79,67,78,81,66,62,65,79,65
208498,M. Dabbur,"15,500,000","399,809",26,27,77,73,19,89,82,74,50,66
208777,Óliver Torres,"16,500,000","3,043,336",24,62,78,82,67,62,76,77,73,64
209981,Y. Bounou,"10,500,000","783,418",27,15,38,39,12,48,10,12,15,19
210324,J. Hofmann,"15,000,000","29,620,270",26,40,78,79,57,61,78,69,81,71
210411,Otávio,"17,499,999","2,253,596",24,27,86,77,46,57,76,74,78,72
210455,Jonny,"13,500,000","3,147,854",25,82,72,74,80,75,65,62,78,54
212501,L. Dendoncker,"14,500,000","272,393",23,76,59,79,78,67,71,72,75,71
213160,R. Zobnin,"15,000,000","19,395,489",25,76,70,81,75,63,64,65,69,65
213516,Ricardo Horta,"16,999,999","746,838",24,35,85,76,55,62,81,78,77,70
213874,Thiago Mendes,"13,500,000","1,635,159",26,76,78,82,76,68,70,67,67,77
213991,J. Lerma,"13,999,999","828,458",24,81,75,77,80,84,58,66,66,65
214947,J. Gbamin,"14,500,000","489,396",23,71,68,78,79,77,65,62,69,60
215057,I. Marcone,"11,500,000","201,720",28,71,60,80,76,35,56,59,58,60
215061,D. Benedetto,"12,999,999","3,706,782",28,25,77,67,28,86,82,67,55,60
190243,M. Hitz,"7,999,999","537,564",31,14,41,29,23,67,8,15,12,17
190456,N. Clyne,"11,500,000","808,371",27,82,79,75,79,69,72,64,78,39
190544,A. Ljajić,"15,000,000","473,339",27,35,81,78,32,63,73,80,72,83
191076,J. Guðmundsson,"12,999,999","228,616",28,55,76,78,62,78,74,79,82,77
192598,Elkeson,"12,999,999","2,006,510",29,35,77,75,56,76,77,76,67,80
192678,Kike García,"12,999,999","568,374",29,21,65,72,37,74,82,42,56,46
192679,Escudero,"10,000,000","566,097",29,80,74,77,81,74,67,69,81,69
193152,Herrerín,"7,999,999","378,589",31,12,49,16,23,67,16,15,14,12
193469,Víctor Ruiz,"10,000,000","816,064",30,82,56,71,79,78,39,67,54,46
193532,G. Medel,"9,499,999","443,431",31,76,78,79,81,82,58,35,50,45
193738,Y. Belhanda,"12,499,999","643,853",29,55,85,78,66,77,70,78,79,78
194229,Hugo Mallo,"10,500,000","1,346,846",27,82,77,71,81,82,46,78,83,38
194761,Borja García,"12,999,999","44,050",28,59,75,82,66,72,77,67,70,54
194845,W. Khazri,"13,500,000","291,915",28,30,80,77,61,44,81,80,79,79
194957,P. Jones,"12,000,000","154,341",27,81,52,73,80,82,42,38,60,35
195586,A. Finnbogason,"12,499,999","3,624,052",30,34,67,71,20,66,86,56,37,51
238794,Vinícius Júnior,"20,499,999","72,217,953",18,18,93,73,26,74,76,77,71,62
241184,Junior Firpo,"12,499,999","1,720,309",22,79,65,76,75,64,76,65,77,43
80,E. Belözoğlu,"3,999,999","558,833",38,60,68,85,66,72,63,83,80,80
49369,Fernando Torres,"6,500,000","31,126",34,18,70,77,20,75,80,80,68,63
121944,B. Schweinsteiger,"5,000,000","84,382",34,73,61,82,73,71,73,82,76,74
124375,B. Yılmaz,"10,000,000","267,030",33,26,72,66,33,66,85,60,68,70
150418,M. Gómez,"10,000,000","1,818,764",33,20,62,68,20,76,83,68,60,36
152908,A. Young,"6,999,999","107,808",33,75,76,78,77,55,68,86,83,75
157301,R. Babel,"11,000,000","377,979",32,21,77,71,34,82,77,77,72,50
158121,B. Costil,"7,999,999","128,082",31,14,38,35,22,49,12,12,11,11
158232,S. Kalou,"10,000,000","5,355,737",33,27,76,79,32,76,83,78,67,62
